"Frontaliers étrangers selon le sexe, le canton de travail, les groupes d'âges et les grands groupes de professions"

"Sexe"	"Canton de travail"	"Classe d'âge"	"Grand groupe de profession"	"1999Q1"	"1999Q2"	"1999Q3"	"1999Q4"	"2000Q1"	"2000Q2"	"2000Q3"	"2000Q4"	"2001Q1"	"2001Q2"	"2001Q3"	"2001Q4"	"2002Q1"	"2002Q2"	"2002Q3"	"2002Q4"	"2003Q1"	"2003Q2"	"2003Q3"	"2003Q4"	"2004Q1"	"2004Q2"	"2004Q3"	"2004Q4"	"2005Q1"	"2005Q2"	"2005Q3"	"2005Q4"	"2006Q1"	"2006Q2"	"2006Q3"	"2006Q4"	"2007Q1"	"2007Q2"	"2007Q3"	"2007Q4"	"2008Q1"	"2008Q2"	"2008Q3"	"2008Q4"	"2009Q1"	"2009Q2"	"2009Q3"	"2009Q4"	"2010Q1"	"2010Q2"	"2010Q3"	"2010Q4"	"2011Q1"	"2011Q2"	"2011Q3"	"2011Q4"	"2012Q1"	"2012Q2"	"2012Q3"	"2012Q4"	"2013Q1"	"2013Q2"	"2013Q3"	"2013Q4"	"2014Q1"	"2014Q2"	"2014Q3"	"2014Q4"	"2015Q1"	"2015Q2"	"2015Q3"	"2015Q4"
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Grand groupe de profession - Total"	134656.6	135096.0	136036.2	136808.7	138677.8	141793.1	144759.8	147256.1	150635.1	154789.6	157385.4	158591.4	160098.8	161224.6	162454.6	163329.6	165276.1	166965.4	168610.8	168457.1	170089.4	175679.7	173587.1	173783.0	176058.3	176524.3	175327.9	177767.3	180534.0	185173.8	191016.3	194184.5	198722.7	204175.5	207363.8	208317.2	212019.1	216292.7	217011.0	216365.3	217947.8	221038.8	220455.3	221553.1	225291.9	231093.2	233112.1	233532.7	237680.0	244011.2	249262.6	250625.1	256358.4	261233.2	265981.3	267873.8	268215.7	273164.9	276701.6	279130.4	281970.7	286475.4	289385.2	293267.1	295268.4	298280.0	300570.5	304117.4
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Directeurs, cadres de direction, gérants"	5266.2	5361.0	5519.5	5658.9	5817.4	5989.5	6223.2	6463.3	6656.0	6883.3	7122.2	7345.7	7498.0	7575.2	7914.9	8251.5	8678.8	9126.9	9508.9	9748.7	10001.2	10317.0	10244.3	10292.4	10442.0	10500.1	10479.4	10707.7	10941.2	11139.1	11551.1	11791.6	12118.4	12551.5	12945.8	13244.5	13712.0	14080.9	14215.6	14377.1	14675.0	14974.4	15031.7	15150.7	15445.4	15798.2	15989.6	16092.3	16442.1	16754.2	17073.9	17455.5	18037.6	18357.8	18803.4	19224.6	19423.3	19841.8	20078.1	20282.8	20600.0	20893.0	21010.8	21326.6	21481.4	21679.3	21797.4	22140.5
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Prof. intellectuelles et scientifiques"	13071.8	13224.7	13527.9	13770.2	14069.0	14354.8	14765.5	15187.5	15550.7	15983.3	16429.4	16783.8	17015.7	17110.8	17557.4	17997.2	18550.6	18965.8	19342.3	19690.6	20034.1	20596.7	20513.3	20656.1	20957.5	20942.7	20964.0	21386.4	21775.5	22133.8	22702.8	23158.0	23724.0	24193.8	24736.4	24998.7	25421.2	25788.8	25953.1	26235.3	26492.0	26790.6	26921.8	27032.6	27406.8	27923.2	28244.4	28446.5	29070.5	29414.1	30011.7	30430.6	31365.9	31524.2	31854.9	32413.3	32535.5	32859.4	33414.1	33733.7	34259.6	34501.9	34964.4	35577.1	35832.5	36198.7	36596.0	37183.6
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Professions intermédiaires"	20440.9	20572.6	20830.1	21081.3	21515.9	22025.1	22489.4	23131.0	23919.0	24607.0	25201.6	25719.4	26209.2	26594.3	27113.5	27574.1	28234.4	28725.0	29185.4	29541.6	30015.8	30819.0	30533.7	30723.6	31230.0	31398.1	31422.3	32057.6	32704.1	33525.2	34614.9	35425.5	36417.9	37526.1	38301.8	38896.9	39508.0	39964.3	40244.3	40433.3	40597.4	40877.7	40447.3	40377.7	40794.7	41560.3	42019.0	42357.6	43338.9	43614.8	44582.8	45282.7	46718.0	47264.4	47976.3	48523.8	48481.5	49033.4	49483.2	49821.6	50319.1	50725.5	51179.3	51914.7	52163.5	52512.9	52693.2	53334.9
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Employés de type administrati"	10913.7	10866.3	10863.8	10863.4	10911.6	10995.2	11117.6	11262.5	11499.7	11901.0	11963.2	12095.4	12287.7	12276.4	11751.8	11578.0	11434.8	11217.1	10960.7	10862.5	10831.1	11229.4	11178.0	11347.6	11646.1	11743.8	11654.2	11828.2	12112.6	12363.3	12696.0	12994.1	13383.8	13809.5	13984.3	14258.6	14654.8	15163.4	15585.1	15981.3	16341.2	16734.1	16692.6	16987.3	17452.9	18133.3	18498.0	19000.6	19964.0	20420.9	20985.4	21535.3	22441.3	22880.5	23423.4	24186.7	24706.8	25885.2	26501.4	27467.1	27907.3	28646.9	29000.8	29750.3	30063.5	30563.4	30781.9	31493.6
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Pers. des services, commerçants, vendeurs"	18120.2	18214.4	18416.7	18585.2	18915.6	19295.4	19678.1	20030.7	20559.9	21349.8	21846.7	22203.5	22664.5	23018.2	23399.2	23813.4	24290.3	24514.5	24814.7	24897.4	25175.2	26269.8	25738.1	25787.0	26058.1	26020.6	25431.8	25890.9	26191.5	26703.8	27447.5	27989.7	28446.1	29183.9	29242.8	29378.1	29801.3	30204.6	29854.1	29622.6	29790.9	30191.5	29815.5	30015.0	30411.1	31206.1	31138.9	31073.8	31783.7	32448.4	32835.2	32826.1	33891.1	34230.9	34620.9	34994.9	34862.8	35695.5	35842.1	36316.2	36612.4	37376.3	37623.5	38371.5	38584.3	39176.6	39493.6	40302.0
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Agriculteurs, sylviculteurs"	694.7	702.9	759.4	716.5	725.6	764.5	864.5	815.0	813.9	870.3	903.4	884.6	906.6	951.8	999.7	968.8	987.0	1020.0	1108.6	1023.1	1030.2	1093.0	1099.2	1055.8	1081.5	1081.2	1074.0	1061.2	1062.6	1106.9	1142.5	1142.7	1157.3	1185.7	1212.6	1165.3	1147.2	1184.8	1182.2	1152.2	1136.4	1157.5	1140.0	1117.8	1128.5	1164.4	1155.5	1115.5	1135.2	1224.8	1254.2	1197.5	1223.2	1320.2	1330.6	1286.6	1267.2	1330.0	1357.5	1323.0	1335.2	1377.0	1394.9	1378.0	1381.6	1419.7	1462.1	1438.6
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Métiers de l’industrie et de l’artisanat"	35676.8	35603.5	35732.3	35652.2	35879.3	36630.0	37567.8	37950.1	38500.1	39215.8	39816.9	39523.2	39459.9	39436.1	39668.3	39402.4	39164.1	39232.0	39548.0	38884.3	38896.8	39957.0	39373.2	38925.1	38990.4	38948.3	38795.2	38838.3	39123.5	39972.7	40981.5	41152.2	41729.9	42452.3	42806.9	42310.0	42504.3	42923.4	42876.5	42199.4	41845.4	41806.9	41227.5	40695.5	40845.1	41564.0	41670.2	41251.9	41309.1	42544.3	43325.2	42812.7	42838.9	43816.6	44450.0	43926.4	43400.7	43754.5	44213.7	43946.5	43901.2	44412.3	44760.5	44833.0	44719.5	45043.5	45217.0	45155.1
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Conducteurs et assembleurs"	12115.1	12018.5	11940.0	11929.8	11999.0	12152.8	12301.5	12356.7	12526.7	12693.4	12867.9	12902.2	12843.9	12807.9	12914.5	12870.7	13014.4	13125.2	13241.3	13168.0	13255.4	13558.2	13245.8	13136.1	13278.6	13249.7	13123.6	13175.7	13360.1	13689.1	14093.3	14159.3	14488.3	14831.7	14961.0	14861.9	15059.1	15290.7	15106.3	14933.6	14931.7	15009.0	14818.0	14738.8	14998.5	15373.6	15525.2	15263.4	15355.3	15711.5	16141.6	16010.8	16144.3	16518.5	16777.2	16619.6	16572.4	16845.2	16977.3	16886.0	16972.6	17263.2	17398.1	17465.3	17479.3	17740.6	17830.9	17949.8
"Sexe - Total"	"Suisse"	"Classe d'âge - Total"	"Professions élémentaires"	16501.0	16699.7	16597.8	16708.6	17001.1	17709.8	17817.6	18054.5	18571.8	19217.6	19141.3	18985.0	19038.7	19298.4	19228.7	19121.4	19366.1	19734.3	19816.2	19655.0	19911.7	20884.1	20678.8	20825.8	21294.3	21565.7	21326.7	21742.9	22170.9	23452.7	24665.4	25218.8	26063.6	27248.5	27983.5	27975.3	28805.9	29924.6	29901.8	29970.0	30727.4	32071.2	32923.9	33999.4	35349.3	36870.0	37300.3	37361.9	37696.2	39297.0	40493.1	40520.8	41136.0	42705.0	43975.4	43889.4	44074.0	45173.1	46081.2	46618.2	47381.5	48646.9	49419.4	50143.3	51065.5	51473.8	52207.5	52614.7
